STT,Tiêu đề,Công ty,Lương,Link
35,Tester  - Thu Nhập Hấp Dẫn - Tại Hà Nội,CÔNG TY TNHH EKYO VIỆT NAM,Thoả thuận,https://www.topcv.vn/viec-lam/tester-thu-nhap-hap-dan-tai-ha-noi/2110759.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
36,Nhân Viên Khai Báo Hải Quan ( Hồ Chí Minh),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VIỆT Á,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-khai-bao-hai-quan-ho-chi-minh/2111635.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
37,Thực Tập Sinh Phân Tích & Triển Khai Nghiệp Vụ,Công ty cổ phần công nghệ Isofh,4 - 5 triệu,https://www.topcv.vn/viec-lam/thuc-tap-sinh-phan-tich-trien-khai-nghiep-vu/1683712.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
38,Kế Toán Nội Bộ,CHAM JEWELRY,8.5 - 12 triệu,https://www.topcv.vn/viec-lam/ke-toan-noi-bo/2110417.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
39,Brand Marketing Manager (Mảng Làm Đẹp) Lương Cứng Từ 20-30 Triệu/Tháng,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MSC,20 - 40 triệu,https://www.topcv.vn/brand/amiagroup/tuyen-dung/brand-marketing-manager-mang-lam-dep-luong-cung-tu-20-30-trieu-thang-j2043596.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
40,Nhân Viên Dự Án (Lương 10 - 20 Triệu) Nghỉ Thứ 7 - Chủ Nhật,CÔNG TY CỔ PHẦN ĐẦU TƯ FIVE STARS VIỆT NAM,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-du-an-luong-10-20-trieu-nghi-thu-7-chu-nhat/2110423.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
41,Giáo Viên Tiếng Anh (Thu Nhập 9 - 15 Triệu),SPARK EDUCATION LIMITED COMPANY,9 - 15 triệu,https://www.topcv.vn/viec-lam/giao-vien-tieng-anh-thu-nhap-9-15-trieu/2115686.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
42,Trưởng Phòng Marketing (Nhận Việc Ngay),CÔNG TY TNHH CYBERCORE VIỆT NAM,20 - 25 triệu,https://www.topcv.vn/viec-lam/truong-phong-marketing-nhan-viec-ngay/1662139.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
43,"Vị Trí Marketing Sale Parttime Phù Hợp Với Sinh Vên Năm 2,3,4 - Cho Thuê Chung Cư - Căn Hộ Dịch Vụ/ Phòng Trọ - Thời Gian Linh Động - Từ 4-6 Triệu - Ưu Tiên Sinh Viên",CÔNG TY TNHH HỖ TRỢ TƯ VẤN DỊCH VỤ E-HOME,6 - 12 triệu,https://www.topcv.vn/viec-lam/vi-tri-marketing-sale-parttime-phu-hop-voi-sinh-ven-nam-2-3-4-cho-thue-chung-cu-can-ho-dich-vu-phong-tro-thoi-gian-linh-dong-tu-4-6-trieu-uu-tien-sinh-vien/1417349.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
44,Manual Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,15 - 25 triệu,https://www.topcv.vn/viec-lam/manual-tester/2049974.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
45,"Nhân Viên Tư Vấn Thiết Kế Website, App, Phần Mềm",CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,7 - 25 triệu,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-thiet-ke-website-app-phan-mem/2110275.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
46,Chuyên Viên Hành Chính  Nhân Sự,Công ty Cổ Phần Cá Heo Xanh,12 - 15 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-hanh-chinh-nhan-su/2114113.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
47,"Chăm Sóc Khách Hàng [Hồ Chí Minh] - Lương Cơ Bản 10-13 Triệu, Không Áp Doanh Số",Công ty cổ phần tập đoàn công nghệ Quảng Ích,10 - 13 triệu,https://www.topcv.vn/viec-lam/cham-soc-khach-hang-ho-chi-minh-luong-co-ban-10-13-trieu-khong-ap-doanh-so/2114167.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
48,Trưởng Phòng Kinh Doanh / Sales Manager - Tân Phú - Đi Làm Ngay,Công ty TNHH TMDV Tâm Minh Quân,20 - 40 triệu,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-sales-manager-tan-phu-di-lam-ngay/2115327.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
49,Kế Toán Tổng Hợp - Nội Bộ | Đi Làm Ngay,CÔNG TY TNHH TWIN TECH VIỆT NAM,13 - 18 triệu,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-noi-bo-di-lam-ngay/2109983.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
50,"Giáo Viên Toán Tư Duy Cấp Mầm Non/Tiểu Học & THCS (Hà Nội, Hải Phòng/ TP.HCM  Và Đồng Nai) - Nhận Việc Ngay",Mathnasium Việt Nam,8 - 12 triệu,https://www.topcv.vn/viec-lam/giao-vien-toan-tu-duy-cap-mam-non-tieu-hoc-thcs-ha-noi-hai-phong-tp-hcm-va-dong-nai-nhan-viec-ngay/1966064.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
51,Phụ Trách Thu Mua Tại Hồ Chí Minh - NHẬN VIỆC NGAY,CÔNG TY CỔ PHẦN THÉP POVINA,Thoả thuận,https://www.topcv.vn/viec-lam/phu-trach-thu-mua-tai-ho-chi-minh-nhan-viec-ngay/2114467.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
52,Product Builder (Remote),CÔNG TY CỔ PHẦN KIMQ,Thoả thuận,https://www.topcv.vn/viec-lam/product-builder-remote/2111290.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
53,Phó Phòng Marketing - Dược Phẩm,CÔNG TY CỔ PHẦN VISTAFA,25 - 30 triệu,https://www.topcv.vn/viec-lam/pho-phong-marketing-duoc-pham/2112255.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614713
